rank,channel_info,influence_score,posts,followers,avg_likes,60_day_eng_rate,new_post_avg_like,total_likes,country,Rank,CCA3,Capital,Continent,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
142,mariliamendoncacantora,73,1.4,41.8,1.0,1.98%,818.6,1.5,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
143,norafatehi,83,1.7,41.6,1.4,1.76%,727.5,2.3,Anguilla,224.0,AIA,The Valley,North America,15857.0,15585.0,14525.0,13172.0,11047.0,8316.0,6560.0,6283.0,91.0,174.2527,1.0066,0.0
146,ranveersingh,85,1.8,40.8,1.0,0.76%,299.3,1.8,Switzerland,101.0,CHE,Bern,Europe,8740472.0,8638613.0,8281732.0,7822435.0,7182059.0,6711693.0,6319113.0,6181227.0,41284.0,211.7157,1.0056,0.11
147,marinaruybarbosa,81,2.1,40.7,586.4,0.01%,0,1.2,Brazil,7.0,BRA,Brasilia,South America,215313498.0,213196304.0,205188205.0,196353492.0,175873720.0,150706446.0,122288383.0,96369875.0,8515767.0,25.2841,1.0046,2.7
150,andresiniesta8,85,2.0,40.0,250.8,0.41%,161.7,500.5,Spain,30.0,ESP,Madrid,Europe,47558630.0,47363807.0,46431342.0,46572772.0,40741651.0,38889889.0,37491666.0,33792617.0,505992.0,93.9909,1.0015,0.6
151,princessyahrini,81,4.5,40.0,118.3,0.22%,87.4,529.9,Indonesia,4.0,IDN,Jakarta,Asia,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0,144.6529,1.0064,3.45
152,liverpoolfc,75,10.0,39.9,346.7,0.42%,162.9,3.5,United Kingdom,21.0,GBR,London,Europe,67508936.0,67059474.0,65224364.0,62760039.0,58850043.0,57210442.0,56326328.0,55650166.0,242900.0,277.9289,1.0034,0.85
153,teddysphotos,80,2.3,39.9,715.5,0.46%,181.1,1.7,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
154,worldstar,78,11.6,39.2,157.4,0.23%,84.4,1.8,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
159,chrissyteigen,79,5.1,38.9,623.1,0.43%,162.1,3.2,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
160,ruben_onsu,75,13.4,38.8,139.3,0.13%,49.1,1.9,Indonesia,4.0,IDN,Jakarta,Asia,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0,144.6529,1.0064,3.45
161,wizkhalifa,80,0.50,38.7,398.7,0.31%,115.7,199.8,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
162,hm,83,7.3,38.5,88.4,0.06%,22.4,644.1,Sweden,87.0,SWE,Stockholm,Europe,10549347.0,10368969.0,9849349.0,9381729.0,8871043.0,8548406.0,8311763.0,8027702.0,450295.0,23.4276,1.0079,0.13
169,laudyacynthiabella,76,0.38,36.9,172.8,0.12%,43.4,66.7,Indonesia,4.0,IDN,Jakarta,Asia,275501339.0,271857970.0,259091970.0,244016173.0,214072421.0,182159874.0,148177096.0,115228394.0,1904569.0,144.6529,1.0064,3.45
170,antogriezmann,83,0.87,36.5,1.1,0.57%,203.6,955.4,France,23.0,FRA,Paris,Europe,64626628.0,64480053.0,63809769.0,62444567.0,58665453.0,56412897.0,53713830.0,50523586.0,551695.0,117.1419,1.0015,0.81
172,eminem,84,0.66,36.4,1.1,2.69%,962.7,730.1,United States,3.0,USA,"Washington, D.C.",North America,338289857.0,335942003.0,324607776.0,311182845.0,282398554.0,248083732.0,223140018.0,200328340.0,9372610.0,36.0935,1.0038,4.24
173,mercedesbenz,77,10.0,36.0,197.9,0.18%,64.6,2.0,British Virgin Islands,221.0,VGB,Road Town,North America,31305.0,30910.0,29366.0,27556.0,20104.0,15617.0,11109.0,9581.0,151.0,207.3179,1.0059,0.0
175,nattinatasha,47,0.03,35.9,518.1,0.80%,285.9,18.7,Czech Republic,88.0,CZE,Prague,Europe,10493986.0,10530953.0,10523798.0,10464749.0,10234710.0,10301192.0,10270060.0,9795744.0,78865.0,133.0627,0.9984,0.13
177,tigerjackieshroff,83,2.1,35.6,1.1,1.20%,422.9,2.2,India,2.0,IND,New Delhi,Asia,1417173173.0,1396387127.0,1322866505.0,1240613620.0,1059633675.0,870452165.0,696828385.0,557501301.0,3287590.0,431.0675,1.0068,17.77
